fips,state,state_abbrev,fy,TotalStateSupport,TotalFinancialAid,GeneralPublicOperations,NetTuitionandFeeRevenue,NetFTEEnrollment
17,Illinois,IL,2019,4255256541,389744099,4463605690,2347816845,306967
17,Illinois,IL,2020,4564727839,450346405,4734679544,2285535481,302722
17,Illinois,IL,2021,4948710959,447842857,5094958973,2295967558,284130
17,Illinois,IL,2022,5369075182,469900647,5563746756,2414471000,274295
17,Illinois,IL,2023,5390687590,591867556,5489767328,2299821599,273214
17,Illinois,IL,2024,5722455345,688243260,5766162763,2227102688,261644
18,Indiana,IN,2001,1283197000,119992000,994132000,751090000,193130
18,Indiana,IN,2002,1198057683,128187000,896961683,872058000,204002
18,Indiana,IN,2003,1315842145,149393117,995531986,998671290,213728
18,Indiana,IN,2004,1360311954,166430775,1013454262,1089775941,219021
18,Indiana,IN,2005,1417478385,180476581,1054585085,1171407183,220359
18,Indiana,IN,2006,1429113393,173968456,1073099782,1280885986,219944
18,Indiana,IN,2007,1456514140,208743915,1063462466,1337494158,223483
18,Indiana,IN,2008,1525216628,228503669,1092718622,1328003433,229251
18,Indiana,IN,2009,1639107213,249139502,1125003171,1474328111,239873
18,Indiana,IN,2010,1595424390,230520295,1116906373,1660671841,265758
18,Indiana,IN,2011,1564730685,248324857,1102950176,1777980202,273322
18,Indiana,IN,2012,1551918210,277939259,1064472617,2042096696,262545
18,Indiana,IN,2013,1557306211,277861541,1066751770,2087951243,256331
18,Indiana,IN,2014,1663061249,301826996,1145375251,2092348604,253337
18,Indiana,IN,2015,1648510778,309530199,1127824180,2154413654,252802
18,Indiana,IN,2016,1739630019,316712322,1196896823,2205821617,249925
18,Indiana,IN,2017,1745379182,323415127,1183632650,2235988798,248664
18,Indiana,IN,2018,1773727687,378908322,1147940269,2248757808,247678
18,Indiana,IN,2019,1849459088,367808184,1231884952,2291011074,246300
18,Indiana,IN,2020,1849926952,355545547,1223366615,2336566520,245224
18,Indiana,IN,2021,1792582538,356054440,1158336512,2334674212,237621
18,Indiana,IN,2022,1918678893,332761243,1281855868,2497309771,235412
18,Indiana,IN,2023,1915994324,320261821,1313825796,2537037540,238175
18,Indiana,IN,2024,2028113088,375395683,1356725713,2633054874,247945
19,Iowa,IA,2001,851184070,54302337,703341508,383667323,105545
19,Iowa,IA,2002,786639971,54330406,646430427,428498278,110834
19,Iowa,IA,2003,769854449,52517549,648294797,510572165,115060
19,Iowa,IA,2004,737622332,51535036,612676447,552968127,117664
19,Iowa,IA,2005,743121766,54942512,614752864,587759920,117737
19,Iowa,IA,2006,779847282,57692925,645147825,601559014,112341
19,Iowa,IA,2007,804448696,59832926,671146460,647191734,112934
19,Iowa,IA,2008,873724167,64130118,723853238,683347067,115011
19,Iowa,IA,2009,914194605,68407518,754853088,736705029,117254
19,Iowa,IA,2010,863776446,57066456,632090085,843076558,127128
19,Iowa,IA,2011,758711929,58968671,638614810,938365941,132744
19,Iowa,IA,2012,740351670,58635231,622989335,994379661,132423
19,Iowa,IA,2013,787419692,64449231,668085032,1023528924,129669
19,Iowa,IA,2014,823333019,63324231,702082618,1067878653,127407
19,Iowa,IA,2015,847741404,64199231,729324772,1098980511,124883
19,Iowa,IA,2016,849068059,61434750,687585525,1130329849,132748
19,Iowa,IA,2017,829402839,58960750,671524559,1186507395,132505
19,Iowa,IA,2018,804642010,56222963,668011037,1232001661,131609
19,Iowa,IA,2019,815470080,58910642,674739366,1236435513,129387
19,Iowa,IA,2020,851804674,74619620,694895033,1208997051,125433
19,Iowa,IA,2021,853241873,74951620,691123037,1175133173,118606
19,Iowa,IA,2022,871110787,85774207,698476329,1180731033,115604
19,Iowa,IA,2023,885596303,90192548,710717517,1218062595,115113
19,Iowa,IA,2024,899770787,99778628,714854809,1275087882,116188
20,Kansas,KS,2001,683084000,13271349,640861839,256982649,100476
20,Kansas,KS,2002,712131059,14259076,664139901,273799509,104341
20,Kansas,KS,2003,679829546,14209178,621251572,313852084,109045
20,Kansas,KS,2004,685831995,12633730,648852182,366429005,110243
20,Kansas,KS,2005,727534311,15729265,690620303,420796793,111948
20,Kansas,KS,2006,773953552,17153360,730452153,460343135,127645
20,Kansas,KS,2007,788720641,18619741,746703804,518603626,127245
20,Kansas,KS,2008,825697884,21984037,780415926,515447096,127940
20,Kansas,KS,2009,815609440,21440836,774660094,581970529,130930
20,Kansas,KS,2010,793700801,21240184,732864659,641365748,138240
20,Kansas,KS,2011,795182338,20103579,732929605,698588789,141031
20,Kansas,KS,2012,752992878,21294175,742780635,743939798,141354
20,Kansas,KS,2013,795346375,20755892,781945012,760209803,140182
20,Kansas,KS,2014,771121325,21567905,772468537,795202276,138310
20,Kansas,KS,2015,803124160,22081680,792965027,827665698,137035
20,Kansas,KS,2016,766842487,21474464,766447576,845375673,135366
20,Kansas,KS,2017,769175109,19835387,776755497,868449701,134716
20,Kansas,KS,2018,772091220,20289421,798678670,865619315,133815
20,Kansas,KS,2019,806027217,27968330,853200718,891584667,132253
20,Kansas,KS,2020,853854267,30180047,888778586,884197002,129622
20,Kansas,KS,2021,949085014,30200047,897391977,861545342,123169
20,Kansas,KS,2022,914563824,59792956,946426764,799553442,119978
20,Kansas,KS,2023,1008945356,64339979,1041310131,807264693,118924
20,Kansas,KS,2024,1131734797,98915551,1152324799,868292607,121103
21,Kentucky,KY,2001,1001625000,29115600,816592200,354995900,119500
21,Kentucky,KY,2002,1084606000,29794600,894298900,377010200,131313
21,Kentucky,KY,2003,1068765000,89492934,815690466,351877852,141005
21,Kentucky,KY,2004,1108687600,140148200,784742400,459856335,140056
21,Kentucky,KY,2005,1076740400,162717700,732267300,556674306,140579
21,Kentucky,KY,2006,1207616000,175337814,833711786,595839163,140769
21,Kentucky,KY,2007,1253992000,185240000,870040900,674152806,140621
21,Kentucky,KY,2008,1320540000,182623900,955576000,755493081,142382
21,Kentucky,KY,2009,1284097566,193782325,907056498,829130145,144641
21,Kentucky,KY,2010,1286116198,203195901,841352803,970323192,154247
21,Kentucky,KY,2011,1283638900,200298500,827237900,1051253243,159806
21,Kentucky,KY,2012,1234008200,201687300,837628200,1071622341,159306
21,Kentucky,KY,2013,1186693600,203204200,809801200,1114536361,155479
21,Kentucky,KY,2014,1192455700,211576600,806972200,1140213309,154713
21,Kentucky,KY,2015,1175573300,213143500,802071000,1167462015,152954
21,Kentucky,KY,2016,1191705100,226928300,755211000,1163413776,149314
