State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
Washington,2017,39655330000,1878116000,1746915916,1479142713,307422636,1317667259,239481,267773203
West Virginia,2017,7190347000,484109151,325222702,242086686,92428224,496512085,69938,83136016
Wisconsin,2017,28316730000,1473947300,1499793071,1382789127,147436376,1318006579,213143,117003944
Wyoming,2017,2798542000,382164128,366934831,338647443,28287388,63351845,23300,28287388
U.S.,2017,1.65E+12,87255912228,84164122509,76456189538,9994638732,74096715987,11061950,7701132690
D.C.,2017,7472682000,86741928,81663505,76680000,4983505,32622534,3239,4983505
Alabama,2016,16025150000,1495278016,1054930293,991773387,68099331,2204984045,195536,63156906
Alaska,2016,2694790000,377216662,334381411,318886267,19152127,99092717,19269,15495144
Arizona,2016,25023740000,822244800,1462926000,1451809300,15402000,2170802500,279239,11116700
Arkansas,2016,11805700000,989276907,788472269,680647904,128004380,604062395,117112,107824365
California,2016,2.38E+11,13067959152,14795761123,13021493487,1955493665,5055444136,1584280,1774267636
Colorado,2016,25712270000,871367734,801822043,660012038,150901114,1750094665,180264,141810005
Connecticut,2016,26318640000,1302886022,995449585,963610676,41774110,997100244,85705,31838909
Delaware,2016,4532432000,230005700,219180525,205094425,15832189,637053033,36472,14086100
Florida,2016,72722190000,4382879922,3736710937,3388667918,546594638,1956399948,598660,348043019
Georgia,2016,37820220000,3058513508,2668665688,2099701136,636441550,1623248637,346741,568964552
Hawaii,2016,9239417000,603948055,508722595,505457675,4427486,238218155,38414,3264920
Idaho,2016,5923220000,418879305,400837091,394885600,6553805,361895109,52744,5951491
Illinois,2016,71128900000,3350027230,3902818523,3733212376,320728747,2418538308,342422,169606147
Indiana,2016,25648440000,1739630019,1431900112,1196896823,316712322,2205821617,249925,235003289
Iowa,2016,15297260000,849068059,698230854,687585525,61434750,1130329849,132748,10645329
Kansas,2016,13278910000,766842487,777626330,766447576,21474464,845375673,135366,11178754
Kentucky,2016,16974940000,1191705100,910067500,755211000,226928300,1163413776,149314,154856500
Louisiana,2016,18223930000,1179534783,847813204,576346451,293317699,709611679,167897,271466753
Maine,2016,6929697000,285813526,246888861,229285760,20629236,233032397,34604,17603101
Maryland,2016,36626680000,1868491878,1902962149,1818665548,101089172,1863056376,234124,84296601
Massachusetts,2016,44213730000,1493700338,1409154410,1347377759,96275495,1071976171,169189,61776651
Michigan,2016,40677330000,1825523600,2208811068,2203469854,8470800,4333198387,380128,5341214
Minnesota,2016,33676620000,1532825000,1276135428,1166986062,173493068,1633436187,193197,109149366
Mississippi,2016,10782580000,1045771892,786466626,748469907,43440109,745579757,132692,37996719
Missouri,2016,22516830000,1035360643,1143841736,1048275785,119939826,1093528556,192781,95565951
Montana,2016,3977482000,259866199,216177416,213598375,2579041,242275356,37952,2579041
Nebraska,2016,9704233000,747592380,704653297,692033580,17603156,453256010,76442,12619717
Nevada,2016,12583330000,624301334,556162772,470470653,85692119,285118748,74451,85692119
New Hampshire,2016,6448739000,126592025,114252195,111581241,2670954,414143401,38414,2670954
New Jersey,2016,59992010000,2319113574,2121803574,1836330000,412788574,2753478506,268296,285473574
New Mexico,2016,7878209000,972681022,960722026,875768104,87296293,218369634,93379,84953922
New York,2016,1.78E+11,5602512841,5763758810,5101439888,971397922,3323391026,556311,662318922
North Carolina,2016,39822080000,3829383471,3333192958,3189886443,254203734,1737277650,388322,143306515
North Dakota,2016,5015182000,405723652,307456844,291824309,18743506,285595025,36165,15632535
Ohio,2016,51999170000,2226256398,2121992112,2041986152,132017729,3090883426,388777,80005960
Oklahoma,2016,13827170000,986345547,866370784,768888010,108717993,752620259,134960,97482774
Oregon,2016,18282900000,775852342,781368060,721985199,64344797,1242371710,151544,59382861
Pennsylvania,2016,64669510000,1647532000,1470788978,1240500119,415537107,3567415898,350435,230288859
Rhode Island,2016,5862102000,179842845,179611840,171444340,8398505,285155909,32063,8167500
South Carolina,2016,16933570000,1026089319,873794368,613890300,347512675,1499805702,171202,259904068
South Dakota,2016,3492953000,219845861,174770003,167709500,8213578,237585346,33674,7060503
Tennessee,2016,21963290000,1686000477,1310741992,968989689,426374299,1096647346,183193,341752303
Texas,2016,1.13E+11,6760512569,6643669888,6208636349,531185516,6221550698,1020366,435033539
Utah,2016,11639640000,933251500,851045314,835487814,15838926,716136209,122066,15557500
Vermont,2016,3711771000,90234391,60553365,50884422,19997040,338966632,20429,9668943
Virginia,2016,38366240000,1861817203,1595094358,1408719959,251377064,2375027143,310368,186374399
Washington,2016,36858770000,1770882000,1634172211,1350193294,324464917,1372283574,240788,283978917
West Virginia,2016,7241918000,486264899,326172203,245572770,89545449,495363101,71026,80599433
Wisconsin,2016,27620210000,1471162500,1478492233,1364178743,145531976,1289063320,217856,114313490
